City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
3,Ambilobe,MG,77.72,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
4,Rikitea,PF,78.67,light rain,-23.1203,-134.9692,People ThankYou
5,Rocha,UY,78.93,clear sky,-34.4833,-54.3333,Hotel Arrarte
6,Mount Isa,AU,85.77,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
14,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
17,Miri,MY,78.4,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
18,Kavieng,PG,82.15,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
20,Bambous Virieux,MU,76.21,light rain,-20.3428,57.7575,Casa Tia Villa
21,Arraial Do Cabo,BR,82.36,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
31,Tefe,BR,85.93,overcast clouds,-3.3542,-64.7114,Aracati Hotel
32,Puerto Ayora,EC,79.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
40,The Valley,AI,82.81,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
42,Cayenne,GF,86.04,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
46,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
50,Georgetown,MY,84.15,few clouds,5.4112,100.3354,Cititel Penang
60,Hithadhoo,MV,84.22,few clouds,-0.6,73.0833,Scoop Guest House
63,Cockburn Town,TC,78.46,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
66,Chuy,UY,76.62,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
67,Cape Town,ZA,81.27,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
74,Quelimane,MZ,77.31,light rain,-17.8786,36.8883,Hotel Flamingo
79,Bowen,AU,75.72,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
81,San Policarpo,PH,79.65,overcast clouds,12.1791,125.5072,Agapita M. Nicart
82,Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
90,Atuona,PF,78.89,few clouds,-9.8,-139.0333,Villa Enata
91,Ettaiyapuram,IN,83.17,heavy intensity rain,9.1441,77.9907,NR Mahal & Rooms
96,Ternate,ID,81.66,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
